"Titre","Créé","Modifié","Nom","numerosLot","numerosOf","Of precedent","Of precedent: Nom","Of Lavage","Of Lavage: Nom","Date","Facing","Régleur","Moussant","Ref flacon","Observation","Programme","Godet","Volume","Volume démarrage","Filtre","Pompe 1","Motorisé 1","valeur 1","Bute bec 1","tube bec 1","Centreur 1","Pompe 2","motorisé 2","valeur 2","bute bec 2","tube bec 2","Centreur 2","Pompe 3","motorisé 3","valeur 3","bute bec 3","tube bec 3","Centreur 3","Pompe 4","valeur 4","bute bec 4","tube bec 4","Centreur 4","Type de bec","H machine","ctrl jus H","ctrl jus prof","ctrl ultra","H compo 1","Prés_Marteau","H marteau","Embout","H compo 2","Prés_Visseuse","couple vis","buté vis","pince vis","H pince ext","Type pince ext","H pince int","Type pince int","cadence","visseuse","H finale","convoyeur","cames bec on","cames bec off","presence_Ceuilleur","Cueilleur","Cueilleur 1 ","Cueilleur 2","Cueilleur 3","Hauteur rail","Dégodiseur A","Dégodiseur B","Dégodiseur C","Etiquette","Consigne Etiquette","Etiqueteuse","vrac","vrac: type vrac","vrac: Pompe","vrac: Etuve","vrac: T°C ambiante","vrac: Rincage Eko","vrac: Circuit Fermé Microbio","CF","vrac: Commentaire","vrac: Labo validation","vrac: Microbio validation"
"VL20022","09/04/2026 22:55","09/04/2026 22:55","Contour des yeux","2603152","WO26006609","WO26006608","Contour des yeux","WO26002133","Lotion bleue","26/04/09",,"Ht","Non",,"Ajout rondele F5x25,7 attention pas de contrôle jus","N°82","F5","16","16,6","False","60","Vrai","18,5",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","950,92",,,,"163","Vrai","388","F9","111","False",,,,,,,,"30",,"158",,,,"False",,,,,,,,,"NON",,,"VRL22531",,"Nc","Nc","Nc",,"NON","NON",,"OUI","OUI"
"Kl20023","09/04/2026 05:50","09/04/2026 05:50","Contour des yeux","2603152","WO26006608","WO26006841","Shampoing douche revitalisant","WO26002133","Lotion bleue","26/04/09",,"Ht","Non",,"Ajout rondele F5x25,7 attention pas de contrôle jus","N°82","F5","16","16,6","False","60","Vrai","18,5",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","950,92",,,,"163","Vrai","388","F9","111","False",,,,,,,,"30",,"158",,,,"False",,,,,,,,,"NON",,,"VRL22531",,"Nc","Nc","Nc",,"NON","NON",,"OUI","OUI"
"jt25001","09/04/2026 02:06","09/04/2026 02:26","Shampoing douche revitalisant","2603158","WO26006841","WO26000611","Gel douche marin revitalisant","WO26000094","Huile pré post epila","26/04/09","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[816c6238b72b4ff981f3e86d5d7035ef][1]_[1].jpeg","HT","non",,,"N°31","F18","380","380,5","False","250","Vrai","69",,"12DOL","12","125","Vrai","65",,"12DO","12","60","Vrai","14","Petite","12DO","12",,,,,,"MO 1","988","173","27",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","22",,"232",,,,"Vrai",,"162","15","576",,,,,"NON",,,,,,,,,,,,,
"jt24001","09/04/2026 00:17","09/04/2026 00:17","Gel douche marin revitalisant","2603158","WO26000611","WO26006272","Gel douche marin revitalisant","WO26000094","Huile pré post epila","26/04/09","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[19420db2eac94b4fa9d0e811867e14cb][1]_[1].jpeg","HT","non",,,"N°31","F18","380","381","False","250","Vrai","69",,"12DOL","12","125","Vrai","65",,"12DO","12","60","Vrai","14","Petite","12DO","12",,,,,,"MO 1","988","173","27",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","22",,"232",,,,"Vrai",,"162","15","576",,,,,"NON",,,,,,,,,,,,,
"jt24001","08/04/2026 23:23","08/04/2026 23:24","Gel douche marin revitalisant","2601237","WO26006272","WO26002133","Lotion bleue","WO26000094","Huile pré post epila","26/02/23","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[110d4a4abcb34d958fdc9bff837ea0fc][1]_[1].jpeg","HT","non",,,"N°31","F18","380","381","False","250","Vrai","69",,"12DOL","12","125","Vrai","66,5",,"12DO","12","60","Vrai","14","Petite","12DO","12",,,,,,"MO 1","988","173","27",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","22",,"232",,,,"Vrai",,"162","15","576",,,,,"NON",,,,,,,,,,,,,
"Vp15001","08/04/2026 03:54","08/04/2026 03:54","Lotion bleue","2603113","WO26002133","WO26000094","Huile pré post epila","WO26003637","Nettoyant pre-peel","26/04/08",,"Ht","Oui",,,"N°47","F4","250","251,4","False","60","False","28",,"14T","14","250","Vrai","60",,"14TL","14",,"False",,,,,,,,,,"MO1R","990,1","180","34",,,"False",,,"205","Vrai","1,2","F1.2","F1","199","F4","59","F4","25",,"256",,,,"False",,,,,,,,,"NON",,,"VRP15201",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"Vp17004","07/04/2026 22:56","07/04/2026 22:56","Huile pré post epila","2603125","WO26000094","WO26003637","Nettoyant pre-peel","Wo26005905","Huile de douche aromatique","26/04/08","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[cfc9dc2c94a547649d28f51f7b0f5b8e][1]_[1].jpeg","Jb","Oui",,,"N°29","F4","250","251,2","False","125","False","70",,"14MW","14","125","False","47",,"14MW","8","60","Vrai","52",,"8MW","8",,,,,,"MW","990,37",,,,"252","Vrai","44,8","F9","201","Vrai","1.2","F13","F13","20,6","F4","10,2","F4","20",,"23,45",,,,"False",,,,,,"635","54","218","NON",,,"VRP15212",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"Kt25018","07/04/2026 05:08","07/04/2026 05:08","Nettoyant pre-peel","2512039","WO26003637","Wo26005121","Huile de douche aromatique","WO26006412","Flash éclat mousse nettoyante ","26/04/07","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[6dbda9472c74429196fed7bb32de49c6][1]_[1].jpeg","Ht","Non",,"Trémie ","N°89",,"100",,"False","125","Vrai","40",,"12DO","12","60","Vrai","35",,"12DO","12",,"False",,,,,,,,,,"MO 1","970,61","107","39",,,"False",,,"163","Vrai","4","F1","F1","158","F11","110","F11","25",,"206",,,,"Vrai",,"119","18","478",,"656","14","192","SIMPLE","7 en bas",,,,,,,,,,,,
"Vt24017","07/04/2026 00:09","07/04/2026 00:09","Huile de douche aromatique","2603066","Wo26005121","Wo26005905","Huile de douche aromatique","WO26001950","Soin conditionner cheveux","26/04/07","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[8d48759aa3a44d96b45f80fe491dfbf4][1]_[1].jpeg","Ht","Non",,"cadence accelerer sf sans etiquette","N°11","F11","150","151.9","False","125","Vrai","72",,"12DOL","12","60","Vrai","30",,"12DO","12",,"False",,,,,,,,,,"MO 1","981","162","37",,,"False",,,"179","Vrai","1","F11","F11","119","F11","72","F11","30",,"215",,,,"False",,,,,,"442","2","216","SIMPLE Cam","Aigle avec à de thalgo 7mm en bas",,,,,,,,,,,,
"Vt24017","03/04/2026 05:30","07/04/2026 00:08","Huile de douche aromatique","2602190","Wo26005904","WO26006416","Flash éclat mousse nettoyante ","WO26001950","Soin conditionner cheveux","26/04/03","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[e62162bd05194c6db97bddbc07d27fdf][1]_[1].jpeg","Ht","Non",,"augmentation cadence sf sans etiquette","N°11","F11","150","151,5","False","125","Vrai","72",,"12DOL","12","60","Vrai","30",,"12DO","12",,"False",,,,,,,,,,"MO 1","981","162","37",,,"False",,,"179","Vrai","1","F11","F11","119","F11","72","F11","30",,"215",,,,"False",,,,,,"442","2","216","SIMPLE Cam","Aigle avec à de thalgo 7mm en bas",,,,,,,,,,,,
