"code","Nom vrac","marque","type vrac","Agitateur","Jupe","T°C jupe","Pompe","Etuve","T°C ambiante","Rincage Eko","Labo validation","Circuit Fermé Microbio","Circuit Fermé en Trémis","Microbio validation","Commentaire"
"BU08010EB02","CREME TOMATE BELLE MINE","EBA","J0","Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"BU09002EB03","creme masque hyaluronique","EBA",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"BU09004EB03","CREME HYALURONIQUE HYDRA","EBA",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","NON",,"OUI",
"BU93004EB03","creme intex n2 peaux grasse","Eba","H0","Oui","Oui","33","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"BU93032EB02","demaquillant cils","eba","H0","Oui","Nc",,"Nc","Non","Nc",,"OUI","NON",,"OUI",
"BU93047EB05","masque intex n2 absorbant","eba",,"Oui","Oui","40","Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"BU93050EB03","masque soir de fete","eba","J0","Oui","Oui","40","Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"BU95026EB02","creme tomate originale","eba","H0","Oui","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRE11021","combleur green rides","eba",,"Oui","Oui","37","Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE11152","creme spiruline liftante rides","eba",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE11231","serum tissulex 14%","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12121","creme detox hydra matifiante","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12131","creme regard nourissante","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12142","creme aux probiotiques hydra-a","eba",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12153","serum magistral red focus 22.2","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12161","serum sebatics 20.7","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE12212","Creme magistrale D-senis 19%","eba","J0","Oui","Oui","40","Nc","Non","Oui",,"OUI","OUI",,"OUI",
"VRE12272","creme legere spiruline liftant","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE13292","Creme regard skinissime","eba","J0","Non","Non",,"Nc","Non","Nc",,"OUI","OUI",,"OUI",
"VRE13301","creme regard spiruline","eba","J0","Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE15152","Gelée tomate exfoliante","eba",,"Oui","Non",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE15181","Lait tomate demaquillant","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE15241","Serum hydra cellular 6.7%","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE15441","Creme riche spiruline lift. ride","eba","J0","Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE16071","Creme redensifiante skinissime","eba","H0","Oui","Oui","40","Non","Oui","Nc",,"OUI","NON",,"OUI",
"VRE16081","Creme nuit skinissime","eba","H0","Oui","Nc",,"Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRE16102","Micro-exfoliant tomate sans grain","eba",,"Nc","Oui","40","Nc","Nc","Oui",,"OUI","OUI",,"OUI",
